posted_date,role,job_count
2024-10-10,data entry operator,1
2025-02-24,data entry operator,1
2025-07-03,data entry operator,3
2025-08-17,data entry operator,1
2025-09-24,data entry operator,1
2025-10-17,data entry operator,1
2025-10-18,data entry operator,1
2025-10-28,data entry operator,1
2025-11-21,data entry operator,1
2025-12-16,data entry operator,1
2026-01-08,data entry operator,1
2026-02-05,data entry operator,1
2026-02-19,data entry operator,1
2026-02-20,data entry operator,1
2026-02-27,data entry operator,1
2026-03-03,data entry operator,1
2026-03-09,data entry operator,1
2026-03-11,data entry operator,1
2026-03-13,content writer,3
2026-03-14,content writer,2
2026-03-15,content writer,1
2026-03-16,content writer,3
2026-03-17,content writer,1
2026-03-17,data entry operator,5
2026-03-18,content writer,2
2026-03-18,customer support executive,6
2026-03-19,content writer,2
2026-03-19,data entry operator,1
2026-03-20,content writer,2
2026-03-21,customer support executive,1
2026-03-22,content writer,2
2026-03-22,customer support executive,1
2026-03-23,machine learning engineer,14
2026-03-24,content writer,1
2026-03-24,customer support executive,1
2026-03-24,machine learning engineer,4
2026-03-25,customer support executive,2
2026-03-25,machine learning engineer,16
2026-03-26,content writer,7
2026-03-26,customer support executive,3
2026-03-26,data entry operator,2
2026-03-26,graphic designer,4
2026-03-26,machine learning engineer,58
2026-03-27,customer support executive,1
2026-03-27,data entry operator,1
2026-03-27,frontend developer,65
2026-03-27,graphic designer,4
2026-03-27,machine learning engineer,42
2026-03-28,backend developer,73
2026-03-28,business analyst,13
2026-03-28,content writer,8
2026-03-28,data analyst,63
2026-03-28,data entry operator,2
2026-03-28,frontend developer,37
2026-03-28,graphic designer,12
2026-03-28,machine learning engineer,13
2026-03-29,accountant,54
2026-03-29,ai engineer,114
2026-03-29,backend developer,37
2026-03-29,business analyst,25
2026-03-29,content writer,6
2026-03-29,customer support executive,1
2026-03-29,data analyst,35
2026-03-29,data scientist,143
2026-03-29,frontend developer,4
2026-03-29,graphic designer,5
2026-03-29,machine learning engineer,7
2026-03-29,project manager,20
2026-03-29,software engineer,30
